Lap 13: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '47.75' Kg, PitStop 'No', Time '01:23.876' ms
Lap 14: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '45.86' Kg, PitStop 'Yes', Time '01:48.544' ms
Lap 15: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '43.98' Kg, PitStop 'Yes', Time '01:48.432' ms
Lap 16: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '42.09' Kg, PitStop 'No', Time '01:23.428' ms
Lap 17: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '40.2' Kg, PitStop 'No', Time '01:23.422' ms
Lap 18: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '7.0'% | '7.0'% | '6.0'% | '5.0'%, Fuel '38.31' Kg, PitStop 'No', Time '01:23.432' ms
Lap 19: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '10.0'% | '9.0'% | '8.0'% | '6.0'%, Fuel '36.42' Kg, PitStop 'No', Time '01:23.428' ms
Lap 20: Rain 5% -> Compound 'Soft', TyresAge 5, Wear '12.0'% | '11.0'% | '9.0'% | '8.0'%, Fuel '34.53' Kg, PitStop 'No', Time '01:23.412' ms
Lap 21: Rain 10% -> Compound 'Soft', TyresAge 6, Wear '15.0'% | '13.0'% | '11.0'% | '9.0'%, Fuel '32.64' Kg, PitStop 'No', Time '01:23.410' ms
Lap 22: Rain 15% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '30.76' Kg, PitStop 'Yes', Time '01:49.203' ms
Lap 23: Rain 20% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '28.87' Kg, PitStop 'No', Time '01:24.114' ms
Lap 24: Rain 25% -> Compound 'Hard', TyresAge 2, Wear '3.0'% | '3.0'% | '2.0'% | '2.0'%, Fuel '26.98' Kg, PitStop 'No', Time '01:24.036' ms
Lap 25: Rain 30% -> Compound 'Hard', TyresAge 3, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '25.09' Kg, PitStop 'No', Time '01:23.946' ms
Lap 26: Rain 35% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '24.15' Kg, PitStop 'Yes', Time '01:47.842' ms
Lap 27: Rain 40% -> Compound 'Medium', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '23.2' Kg, PitStop 'No', Time '01:26.915' ms
Lap 28: Rain 45% -> Compound 'Medium', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '22.26' Kg, PitStop 'No', Time '01:28.332' ms
Lap 29: Rain 50% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '21.31' Kg, PitStop 'Yes', Time '01:53.072' ms
Lap 30: Rain 55% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '20.37' Kg, PitStop 'No', Time '01:28.038' ms
Lap 31: Rain 60% -> Compound 'Inter', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '20.37' Kg, PitStop 'No', Time '01:28.060' ms
Lap 32: Rain 65% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '20.37' Kg, PitStop 'Yes', Time '01:56.016' ms
Lap 33: Rain 70% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '20.37' Kg, PitStop 'Yes', Time '01:53.016' ms
Lap 34: Rain 75% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '20.37' Kg, PitStop 'Yes', Time '01:53.016' ms
Lap 35: Rain 80% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '20.37' Kg, PitStop 'No', Time '01:28.038' ms
Lap 36: Rain 85% -> Compound 'Inter', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '20.37' Kg, PitStop 'No', Time '01:28.060' ms
